omega1,omega2,time
0.000754416,0.0015721507,472
0.0020641387,5.7011843e-05,473
-4.746765e-05,-0.00039384328,474
0.00038266182,0.0011212751,475
0.00049174577,0.0020023305,476
-0.0006422773,0.0014645495,477
-0.00030655414,0.00082203187,478
-0.0016306266,-0.0004403703,479
-0.0031933263,-0.0007321425,480
-0.0026252493,-0.00091636926,481
0.0007421598,-0.0029701125,482
0.00029478222,-0.002642911,483
0.00034372509,-0.0016476791,484
0.001103498,-0.0009103734,485
0.00040578097,-0.0006945729,486
0.0007278994,-0.0011263937,487
0.00236772,-0.0010265,488
0.0026644915,0.00034322776,489
0.0012367591,0.00016841292,490
0.001363419,-0.00019870326,491
0.0023759604,0.0007983316,492
0.0018101484,0.0019533858,493
0.00084632635,0.0017432552,494
0.0017155558,0.0004625842,495
0.0007803142,-0.00059729256,496
0.0004785657,0.0007479042,497
0.0004850626,0.0019057002,498
-0.00065440685,0.0014717411,499
-0.00029890984,0.0013644416,500
-0.0011074245,-0.00039412826,501
-0.003058724,-0.0007358771,502
-0.002718851,-0.0011012331,503
-0.00023660809,-0.0025828425,504
0.00044665486,-0.0030407812,505
0.0003870204,-0.0014114454,506
0.00082458556,-0.0009015519,507
0.0008351654,-0.0008901432,508
0.00069503486,-0.0011648014,509
0.0018800199,-0.0012408085,510
0.002803348,-0.0001084134,511
0.0021132007,0.00071975216,512
0.0013003871,-0.00019819476,513
0.0019835755,0.0005073175,514
0.0020572618,0.0016382076,515
0.0010571107,0.0018989239,516
0.0014019087,0.0008094683,517
0.001858376,-0.00075589865,518
0.00040271878,0.00029866584,519
0.00047117472,0.0017345361,520
-0.000601843,0.001464637,521
-0.00043026358,0.0014492609,522
-0.00053151697,-0.0002917573,523
-0.0027265027,-0.00082303025,524
-0.00271748,-0.00105826,525
-0.001127623,-0.0019784365,526
0.0006909147,-0.0031916797,527
0.0003304705,-0.0010898504,528
0.00068226457,-0.0012929458,529
0.001159884,-0.00095398165,530
0.0005193576,-0.0011918917,531
0.0012577847,-0.0013688318,532
0.0027977303,-0.00048365444,533
0.0021554157,0.0012589116,534
0.0012496859,-0.00012098439,535
0.0017038658,0.0001617074,536
0.0023080036,0.0012346767,537
0.0012699589,0.0020758193,538
0.0010763258,0.0011559725,539
0.003016606,-0.00089671835,540
-7.046014e-05,-0.00016826764,541
0.00036881864,0.0014556777,542
4.6268106e-05,0.0018173028,543
-0.000558503,0.0014477111,544
-0.00030367076,0.00017233752,545
-0.0022679418,-0.0007408168,546
-0.0028732345,-0.00092643313,547
-0.0020495355,-0.0012517255,548
0.0010064617,-0.0031905752,549
0.0002779588,-0.0019835737,550
0.00045734644,-0.0015907846,551
0.0012021586,-0.0010444745,552
0.00030120462,-0.001156494,553
0.0005971119,-0.0013561323,554
0.0026651695,-0.00078799576,555
0.002398096,0.0009031929,556
0.0010668561,-8.343905e-05,557
0.0015012398,-7.392652e-05,558
0.0025609508,0.0009534247,559
0.0015440583,0.0020766687,560
0.00078549236,0.0015346445,561
0.0021566153,-1.9734725e-05,562
-0.00011128932,-0.00037192367,563
0.0003766641,0.001156807,564
0.00049366057,0.0020129886,565
-0.000640288,0.0014664587,566
-0.0003169626,0.0007599015,567
-0.0016906783,-0.00047437102,568
-0.0032041743,-0.00074223056,569
-0.0026145428,-0.0008963775,570
0.00083393604,-0.003005555,571
0.000286296,-0.0026069563,572
0.00034610182,-0.0016641337,573
0.0011175945,-0.0009434689,574
0.0003908649,-0.00071227364,575
0.00071905553,-0.0011524893,576
0.0024038777,-0.0010107979,577
0.0026503503,0.00038598664,578
0.0011598989,0.00012261048,579
0.0013728291,-0.00019235536,580
0.00242313,0.00080865994,581
0.0017946064,0.0019630454,582
0.0008335188,0.0017326176,583
0.0017524138,0.0004345756,584
0.0006826818,-0.00057734735,585
0.00046533346,0.00079320185,586
0.00048083812,0.0019243024,587
-0.0006605908,0.0014774129,588
-0.00029217452,0.0013424549,589
-0.001157552,-0.00038542785,590
-0.0030944943,-0.00072625093,591
-0.0027202293,-0.0011009835,592
-0.00015286356,-0.0026432537,593
0.00042823702,-0.0030195676,594
0.0003760755,-0.0014551077,595
0.00088243186,-0.000871405,596
0.0008075312,-0.0008777045,597
0.00070747733,-0.0011540316,598
0.0019367933,-0.0012221858,599
0.0027997121,-6.958842e-05,600
0.002027303,0.0006638877,601
0.0013030842,-0.0002045352,602
0.0020124987,0.00054324605,603
0.002037108,0.0016783923,604
0.0010412261,0.0018845182,605
0.0014340132,0.000778269,606
0.0017572865,-0.0007368047,607
0.0004268661,0.00035084412,608
0.00048143417,0.0017628781,609
-0.0006099045,0.0014666133,610
-0.00041870028,0.0014416035,611
-0.00056964904,-0.0003119409,612
-0.0027688965,-0.000826098,613
-0.0027261153,-0.0010810047,614
-0.001046747,-0.002049135,615
0.00066483766,-0.0031883568,616
0.00033438206,-0.0010836236,617
0.0007091537,-0.0012547113,618
0.0011264458,-0.0009536613,619
0.0005432293,-0.0011939108,620
0.0013205707,-0.0013686009,621
0.0028068349,-0.00045309588,622
0.0021668747,0.0012168102,623
0.0012548789,-0.00013245828,624
0.0017267466,0.00018942542,625
0.0022914335,0.0012715515,626
0.0012521669,0.0020585656,627
0.0011080131,0.001123447,628
0.0028949156,-0.00088984706,629
-5.863607e-06,-0.00012779608,630
0.00037712604,0.0014835019,631
-1.7888844e-05,0.0017834213,632
-0.00054804236,0.0014471188,633
-0.00029613823,0.0001276955,634
-0.002319634,-0.00075832754,635
-0.002838187,-0.00093651377,636
-0.0019650385,-0.0013331976,637
0.00097285956,-0.0032049809,638
0.0002816245,-0.0019194242,639
0.00047373772,-0.0015779883,640
0.0011970475,-0.0010517407,641
0.00032084435,-0.0011670776,642
0.0006676987,-0.0013623182,643
0.0026908964,-0.00076539814,644
0.0023781583,0.000953611,645
0.0010840446,-8.942559e-05,646
0.0015177876,-5.5810437e-05,647
0.0025396347,0.0009733308,648
0.0015176162,0.0020899363,649
0.00081355125,0.0014927555,650
0.0022472814,-0.000105425715,651
-0.00017849356,-0.00035294518,652
0.0003713444,0.0011890288,653
0.0004970208,0.002020346,654
-0.00063367933,0.001463363,655
-0.00032181293,0.000697596,656
-0.0017520562,-0.00050865486,657
-0.003175579,-0.0007649325,658
-0.002597347,-0.0008651931,659
0.0009337291,-0.0030200295,660
0.0002831295,-0.0025445335,661
0.00035042316,-0.0016639568,662
0.0011293739,-0.0009579733,663
0.00038487464,-0.00073004514,664
0.00070241094,-0.0011760555,665
0.0024328604,-0.0009933282,666
0.0026256219,0.00043354556,667
0.0010797605,7.484108e-05,668
0.0013833717,-0.00018419325,669
0.00247325,0.00082015246,670
0.0017721131,0.001971865,671
0.00081109256,0.0017178953,672
0.0017801598,0.00040009432,673
0.0005804524,-0.0005622264,674
0.0004523024,0.0008348301,675
0.00047786534,0.0019392725,676
-0.0006624684,0.0014778171,677
-0.00029604882,0.0012916438,678
-0.001204215,-0.00037456676,679
-0.0031192824,-0.00070756674,680
-0.0027169734,-0.0010928456,681
-6.324798e-05,-0.0026867893,682
0.00040929765,-0.002996143,683
0.00036730617,-0.0014874768,684
0.0009149015,-0.00084901415,685
0.0007802695,-0.0008671079,686
0.00072120875,-0.0011452027,687
0.0019935071,-0.0012033992,688
0.0027961284,-3.0936673e-05,689
0.0019434467,0.0006096307,690
0.0013080016,-0.00020699762,691
0.002043344,0.0005817041,692
0.0020154938,0.0017206687,693
0.0010248125,0.0018709023,694
0.0014677793,0.0007476378,695
0.0016548336,-0.00072016194,696
0.0004441589,0.00039729662,697
0.00049325824,0.0017910339,698
-0.00062035024,0.001471892,699
-0.0004094541,0.0014345068,700
-0.00062808394,-0.00032944232,701
-0.0028031096,-0.0008217059,702
-0.002727285,-0.0010908693,703
-0.00095995516,-0.002112085,704
0.0006390661,-0.0031785928,705
0.00033741444,-0.0011243634,706
0.0007370487,-0.0012142826,707
0.0010919869,-0.00094357505,708
0.0005658716,-0.0011924133,709
0.0013774484,-0.0013645366,710
0.0028060898,-0.0004173685,711
0.0021626353,0.0011646226,712
0.0012616813,-0.00014065206,713
0.0017508417,0.00021884777,714
0.0022614077,0.0013059303,715
0.0012283996,0.002039194,716
0.001140751,0.0010905918,717
0.0027724132,-0.00088418834,718
4.335493e-05,-8.2306564e-05,719
0.0003829524,0.0015134979,720
-8.229911e-05,0.0017512701,721
-0.00053848326,0.0014474764,722
-0.0003168285,7.8808516e-05,723
-0.0023663864,-0.0007708557,724
-0.0028024688,-0.0009410698,725
-0.0018755794,-0.001398962,726
0.0009409413,-0.003207948,727
0.00028929114,-0.0018361714,728
0.00049161166,-0.0015523266,729
0.0011896715,-0.0010426007,730
0.00033792108,-0.0011718739,731
0.00073265284,-0.0013668295,732
0.0027069524,-0.00073947385,733
0.0023497865,0.0010059066,734
0.001100719,-9.5974654e-05,735
0.0015359968,-3.5224482e-05,736
0.0025162026,0.000995744,737
0.0014888272,0.002103245,738
0.00084046274,0.0014488101,739
0.002335608,-0.00019303523,740
-0.00024668872,-0.00033972412,741
0.00036761165,0.0012174491,742
0.0005023405,0.0020243656,743
-0.00062855333,0.001462236,744
-0.0003233403,0.0006368216,745
-0.0018067881,-0.00053695403,746
-0.0031487793,-0.0007933099,747
-0.0025822446,-0.000837883,748
0.001032412,-0.003040934,749
0.00027758628,-0.0024987701,750
0.00035629421,-0.001664333,751
0.0011433512,-0.0009748079,752
0.00037685037,-0.0007579159,753
0.00068698823,-0.0012001079,754
0.002464071,-0.000975674,755
0.0026025698,0.00048121065,756
0.0009996966,2.747029e-05,757
0.0013923869,-0.00017818436,758
0.0025215596,0.0008311868,759
0.0017493516,0.0019809306,760
0.00078924745,0.0017040502,761
0.001806736,0.00036628544,762
0.0004793331,-0.0005493015,763
0.00044323504,0.00086803734,764
0.0004785061,0.0019459501,765
-0.00066015124,0.0014742706,766
-0.00029281527,0.0012400951,767
-0.0012419745,-0.0003589671,768
-0.00312642,-0.00067727827,769
-0.002706036,-0.0010717586,770
2.6531518e-05,-0.0027312916,771
0.00039243698,-0.0029634554,772
0.0003579855,-0.0015234072,773
0.0009332895,-0.00084668957,774
0.0007448718,-0.0008443203,775
0.00072880834,-0.0011318848,776
0.0020465478,-0.0011782423,777
0.0027870312,8.28132e-06,778
0.001859352,0.00055494346,779
0.0013125911,-0.00020961463,780
0.0020746738,0.0006211251,781
0.0019909516,0.0017619953,782
0.0010062903,0.0018561371,783
0.0014987886,0.0007158462,784
0.0015532896,-0.0007048808,785
0.00046154857,0.0004425142,786
0.00050604343,0.0018140264,787
-0.00062566996,0.0014717095,788
-0.00040014088,0.0014275052,789
-0.00068937987,-0.0003532581,790
-0.0028429776,-0.00082151964,791
-0.002729699,-0.001102101,792
-0.0008759722,-0.0021732412,793
0.00061450154,-0.003169313,794
0.00034121424,-0.0011634864,795
0.0007638931,-0.0011833534,796
0.0010608733,-0.00094729476,797
0.0005809888,-0.0011987966,798
0.0014401898,-0.0013600551,799
