xseq_norm,xkoop_norm,time
0.098279946,0.99722815,180.0
0.023772188,0.9886281,180.25
0.08676721,0.961754,180.5
0.07673591,0.92641425,180.75
0.073221736,0.89276904,181.0
0.028952412,0.87377393,181.25
0.13765328,0.8749306,181.5
0.14143865,0.8959515,181.75
0.11041339,0.93070203,182.0
0.15813445,0.96617764,182.25
0.055249073,0.9902836,182.5
0.07080552,1.0,182.75
0.07267973,0.9900684,183.0
0.06278799,0.9630428,183.25
0.089594714,0.9271871,183.5
0.13757318,0.8919222,183.75
0.12112973,0.8678698,184.0
0.060749404,0.8641825,184.25
0.08263003,0.88416296,184.5
0.12673447,0.9185346,184.75
0.11796791,0.9553483,185.0
0.076298356,0.9831974,185.25
0.15368485,0.99616754,185.5
0.009573443,0.9934566,185.75
0.07236846,0.96967757,186.0
0.08832664,0.9353231,186.25
0.075256065,0.90063876,186.5
0.017309995,0.876988,186.75
0.11481921,0.87309647,187.0
0.1465228,0.88947904,187.25
0.116639666,0.9219566,187.5
0.16215529,0.9592044,187.75
0.0977138,0.9863112,188.0
0.08030554,0.99985707,188.25
0.07731354,0.99462116,188.5
0.057771698,0.9711258,188.75
0.07135322,0.9369288,189.0
0.13438843,0.90089357,189.25
0.124130435,0.87289363,189.5
0.051662534,0.8638092,189.75
0.07265002,0.8789129,190.0
0.13216567,0.9109499,190.25
0.12511507,0.9484051,190.5
0.08372741,0.9792131,190.75
0.10335435,0.9959707,191.0
0.018878955,0.99648774,191.25
0.058619343,0.97664726,191.5
0.100257106,0.94407696,191.75
0.07748739,0.908797,192.0
0.040489513,0.8811681,192.25
0.08421338,0.8723315,192.5
0.15910555,0.88409287,192.75
0.1340979,0.91365343,193.0
0.15031093,0.95129913,193.25
0.12741348,0.98133993,193.5
0.08223512,0.9985184,193.75
0.070436426,0.9979809,194.0
0.039017543,0.9785547,194.25
0.065439746,0.946336,194.5
0.12581848,0.90938354,194.75
0.12962447,0.8781381,195.0
0.05738604,0.86389154,195.25
0.06700597,0.8734808,195.5
0.12308826,0.90237063,195.75
0.12879123,0.93944824,196.0
0.09328332,0.97269535,196.25
0.08701184,0.99336064,196.5
0.04431556,0.99788994,196.75
0.044099353,0.98317343,197.0
0.0957949,0.9530931,197.25
0.07808907,0.9173848,197.5
0.06705777,0.88645923,197.75
0.058464814,0.8728573,198.0
0.15318482,0.8795755,198.25
0.14203165,0.90540546,198.5
0.12758595,0.94195825,198.75
0.14797613,0.9748773,199.0
0.07261015,0.99545866,199.25
0.059977785,0.9997373,199.5
0.058190472,0.9848687,199.75
